BBH_score_clustered,BBH_se,BBH_nsubtasks,MUSR_score_clustered,MUSR_se,MUSR_nsubtasks,model
0.486311802622738,0.006349081073160809,24,0.35139583333333335,0.017005843262039532,3,ContactDoctor/Bio-Medical-Llama-3-8B
0.2994272300913873,0.005784614894242202,24,0.3687291666666667,0.01703038597385617,3,CoolSpring/Qwen2-0.5B-Abyme-merge2
0.30031404525933675,0.005785145492298426,24,0.35009375000000004,0.016882836803747955,3,CoolSpring/Qwen2-0.5B-Abyme-merge3
0.2861834296481826,0.005662846478653813,24,0.35421875,0.0169088160546974,3,CoolSpring/Qwen2-0.5B-Abyme
0.4428023404192858,0.0062161177949123375,24,0.3872708333333333,0.017342945724313046,3,Corianas/Neural-Mistral-7B
0.3055474937424842,0.005809843780883675,24,0.3908333333333333,0.017534775836909954,3,Corianas/Quokka_2.7b
0.4457148560545015,0.006178819629473152,24,0.39771874999999995,0.017401650417653607,3,Corianas/llama-3-reactor
0.40064119858418135,0.006034863157109274,24,0.38460416666666664,0.017368450865015615,3,CortexLM/btlm-7b-base-v0.2
0.6264692798019764,0.00599873207721886,24,0.4528125,0.01781973057955205,3,Cran-May/SCE-2-24B
0.597283045074691,0.006119695586906335,24,0.44347916666666665,0.01772270683104364,3,Cran-May/SCE-3-24B
0.5581754708123893,0.006263584967573537,24,0.4505208333333333,0.017916988359247286,3,Cran-May/T.E-8.1
0.6527145981540362,0.005866495933864373,24,0.47665625,0.01807904274182096,3,CultriX/Qwen2.5-14B-Broca
0.6391383585238984,0.005904461240622427,24,0.46903125,0.01795233673864077,3,CultriX/Qwen2.5-14B-BrocaV9
0.6452353476182755,0.0059150957685688175,24,0.4756354166666667,0.017992102225391864,3,CultriX/Qwen2.5-14B-Brocav3
0.6388835266626555,0.005935195672395847,24,0.47420833333333334,0.018024380288639185,3,CultriX/Qwen2.5-14B-Brocav6
0.6444026981327183,0.005890685959779587,24,0.47960416666666666,0.017960090917764644,3,CultriX/Qwen2.5-14B-Brocav7
0.6260033680703311,0.005967690844200098,24,0.46909375000000003,0.017932709795082328,3,CultriX/Qwen2.5-14B-Emerged
0.6190728411056029,0.0060175598441320945,24,0.4728125,0.018034195914759982,3,CultriX/Qwen2.5-14B-Emergedv3
0.5714945310011449,0.006236636323115316,24,0.43790625,0.01748348675624933,3,CultriX/Qwen2.5-14B-FinalMerge
0.6507453346766107,0.005880529564975464,24,0.48983333333333334,0.018091927843980407,3,CultriX/Qwen2.5-14B-Hyper
